date,year,month,day,voltage,arus,power,energy,frequency,powerfactor
22/02/2021,2021,2,22,198.7,0.03,0.7,1.09,49.8,0.12
22/02/2021,2021,2,22,198.3,0.03,0.8,1.09,50,0.13
23/02/2021,2021,2,23,207.2,0.16,29.2,1.11,49.8,0.89
23/02/2021,2021,2,23,206.8,0.16,29,1.11,50,0.89
23/02/2021,2021,2,23,209.7,0.16,29.7,1.12,49.9,0.89
23/02/2021,2021,2,23,213.2,0.16,30.6,1.13,50.1,0.89
23/02/2021,2021,2,23,212.3,0.16,30.4,1.14,49.9,0.89
23/02/2021,2021,2,23,211.8,0.16,30.2,1.14,50,0.89
23/02/2021,2021,2,23,212,0.16,30.2,1.15,50,0.89
23/02/2021,2021,2,23,205.6,0.16,28.7,1.16,49.8,0.89
23/02/2021,2021,2,23,206.8,0.16,29,1.17,50.1,0.89
23/02/2021,2021,2,23,207,0.16,29,1.17,50,0.89
23/02/2021,2021,2,23,207.5,0.16,29.1,1.18,50,0.89
23/02/2021,2021,2,23,203.8,0.16,28.2,1.19,50,0.89
23/02/2021,2021,2,23,202.8,0.16,28,1.2,49.9,0.89
23/02/2021,2021,2,23,210.8,0.16,29.9,1.22,49.8,0.89
23/02/2021,2021,2,23,211.6,0.16,30.1,1.23,50,0.89
23/02/2021,2021,2,23,211.2,0.16,29.9,1.24,50,0.89
23/02/2021,2021,2,23,208.9,0.16,29.4,1.24,49.9,0.89
23/02/2021,2021,2,23,208.2,0.16,29.2,1.25,50,0.89
23/02/2021,2021,2,23,207,0.18,35.7,1.26,49.9,0.97
23/02/2021,2021,2,23,206.6,0.18,35.6,1.27,49.9,0.97
23/02/2021,2021,2,23,206.6,0.18,35.7,1.28,50,0.98
23/02/2021,2021,2,23,211.8,0.18,37.3,1.29,50,0.98
23/02/2021,2021,2,23,207.8,0.03,0.9,1.29,49.8,0.14
23/02/2021,2021,2,23,209.1,0.03,0.9,1.29,49.7,0.13
23/02/2021,2021,2,23,211.3,0.03,0.9,1.29,49.8,0.13
23/02/2021,2021,2,23,211.9,0.03,0.9,1.29,49.9,0.13
23/02/2021,2021,2,23,211.3,0.03,0.9,1.29,49.9,0.13
23/02/2021,2021,2,23,209.1,0.03,0.9,1.29,50.1,0.13
23/02/2021,2021,2,23,212.4,0.03,0.9,1.29,50,0.13
23/02/2021,2021,2,23,211.1,0.03,0.9,1.29,50,0.13
23/02/2021,2021,2,23,210.2,0.03,0.9,1.29,49.9,0.13
23/02/2021,2021,2,23,210.3,0.03,0.9,1.29,49.7,0.13
23/02/2021,2021,2,23,210.3,0.03,0.9,1.29,50.1,0.13
23/02/2021,2021,2,23,208.7,0.03,0.9,1.29,50,0.13
23/02/2021,2021,2,23,208.1,0.03,0.9,1.29,49.9,0.14
23/02/2021,2021,2,23,205.1,0.03,0.9,1.29,50.2,0.14
23/02/2021,2021,2,23,205.4,0.03,0.8,1.29,49.8,0.13
23/02/2021,2021,2,23,207.3,0.16,30.2,1.29,50,0.9
23/02/2021,2021,2,23,208.1,0.16,29.6,1.3,49.8,0.89
23/02/2021,2021,2,23,202.5,0.16,28.1,1.31,49.9,0.89
23/02/2021,2021,2,23,205.9,0.16,28.9,1.32,50,0.89
23/02/2021,2021,2,23,204.2,0.16,28.5,1.32,49.8,0.89
23/02/2021,2021,2,23,198.4,0.15,27.1,1.33,49.9,0.89
23/02/2021,2021,2,23,199.6,0.15,27.4,1.34,49.8,0.89
23/02/2021,2021,2,23,196.8,0.15,26.7,1.34,50,0.89
23/02/2021,2021,2,23,198.8,0.15,27.2,1.35,50,0.89
23/02/2021,2021,2,23,199.8,0.15,27.5,1.36,50,0.89
23/02/2021,2021,2,23,197,0.15,26.7,1.36,49.9,0.89
23/02/2021,2021,2,23,198.3,0.15,27,1.37,50,0.89
23/02/2021,2021,2,23,198.7,0.15,27.1,1.38,50,0.89
23/02/2021,2021,2,23,198.8,0.03,0.8,1.38,49.9,0.13
23/02/2021,2021,2,23,198.8,0.03,0.8,1.38,49.9,0.13
23/02/2021,2021,2,23,197.9,0.03,0.8,1.38,50,0.13
23/02/2021,2021,2,23,198.8,0.03,0.8,1.38,50,0.13
23/02/2021,2021,2,23,200.2,0.03,0.8,1.38,49.9,0.13
23/02/2021,2021,2,23,199.5,0.03,0.8,1.38,50,0.13
23/02/2021,2021,2,23,200.5,0.03,0.8,1.38,50,0.13
23/02/2021,2021,2,23,203.8,0.03,0.8,1.38,50,0.13
23/02/2021,2021,2,23,202,0.03,0.8,1.38,50,0.13
23/02/2021,2021,2,23,204.3,0.03,0.8,1.38,49.9,0.13
23/02/2021,2021,2,23,202.2,0.03,0.8,1.38,49.8,0.13
23/02/2021,2021,2,23,204.5,0.03,0.8,1.38,49.9,0.13
24/02/2021,2021,2,24,211.5,0.16,29.4,1.38,49.9,0.88
24/02/2021,2021,2,24,210.2,0.15,27.5,1.39,49.9,0.86
24/02/2021,2021,2,24,211,0.15,27.4,1.4,50,0.85
24/02/2021,2021,2,24,210.3,0.15,27.1,1.4,50,0.85
24/02/2021,2021,2,24,210.4,0.15,27.1,1.41,49.9,0.85
24/02/2021,2021,2,24,207.7,0.15,26.5,1.42,49.8,0.85
24/02/2021,2021,2,24,206.1,0.15,26.1,1.42,49.9,0.85
24/02/2021,2021,2,24,201.6,0.15,25.1,1.43,50,0.85
24/02/2021,2021,2,24,208,0.15,27.2,1.43,49.9,0.85
24/02/2021,2021,2,24,204.8,0.15,26.4,1.44,50,0.85
24/02/2021,2021,2,24,206.6,0.15,26.8,1.45,49.9,0.85
24/02/2021,2021,2,24,202.7,0.15,25.9,1.45,50.1,0.85
24/02/2021,2021,2,24,200.2,0.15,25.3,1.46,50,0.85
24/02/2021,2021,2,24,199.5,0.15,25.1,1.47,50,0.85
